ID,Track,Artists,Valence,Energy,Tempo
213x4gsFDm04hSqIUkg88w,On Top Of The World,Imagine Dragons,0.763,0.924,100.045
6Z8R6UsFuGXGtiIxiD8ISb,Safe And Sound,Capital Cities,0.766,0.819,117.956
3HfhB8sYqLlVmpBPb7cc2x,Walking On A Dream,Empire Of The Sun,0.727,0.699,126.967
0d28khcov6AiegSCpG5TuT,Feel Good Inc.,Gorillaz,0.772,0.705,138.559
4tKGFmENO69tZR9ahgZu48,Murder On The Dancefloor,Sophie Ellis-Bextor,0.887,0.849,117.308
0mvkwaZMP2gAy2ApQLtZRv,It's a Beautiful Day,Michael Bublé,0.78,0.795,143.837
5xoUgPXbMNUmoHU0Enwtwq,She Moves In Her Own Way,The Kooks,0.814,0.803,153.314
1fBl642IhJOE5U319Gy2Go,Animal,Neon Trees,0.74,0.833,148.039
5k5fWendNngd89O8JKoE8L,Better When I'm Dancin',Meghan Trainor,0.873,0.789,127.987
5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BTS,0.737,0.765,114.044
3GBApU0NuzH4hKZq4NOSdA,What You Know,Two Door Cinema Club,0.775,0.739,139.0
5Z0UnEtpLDQyYlWwgi8m9C,Too Sweet,Hozier,0.934,0.62,117.038
6JIC3hbC28JZKZ8AlAqX8h,Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",0.934,0.8,116.032
1jEBSDN5vYViJQr78W7jr2,Light Switch,Charlie Puth,0.905,0.627,184.008
215JYyyUnrJ98NK3KEwu6d,Soak Up The Sun,Sheryl Crow,0.708,0.732,119.996
36tghkPg1AO4HsAzo6YpPp,House of Gold,Twenty One Pilots,0.851,0.693,114.948
4bEb3KE4mSKlTFjtWJQBqO,Don't Stop - 2004 Remaster,Fleetwood Mac,0.834,0.71,118.745
4ycLiPVzE5KamivXrAzGFG,Fuck You,CeeLo Green,0.738,0.834,127.43
